Column1,SOURCEID,SAMPLEID,UHDICM,LHDICM,CRFVOL,SNDPPT,SLTPPT,CLYPPT,BLD,PHIHOX,PHIKCL,ORCDRC,CECSUM,SOURCEDB,TIMESTRR,LONWGS84,LATWGS84,DEPTH,HZDTXT,PHICAL,LOC_ID,UHDICM.f,LHDICM.f,DEPTH.f,CLEAN_ID
11,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_1,0,8,0,84,2,14,NA,6.6,5.6,11,7,AfSPDB,1962-10-21,15.107436,-10.07856,4,NA,NA,ID_15.107436_-10.07856,0,8,4,15.107436_-10.07856
12,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_2,8,19,0,82,3,16,NA,6.3,5.1,9.2,6.4,AfSPDB,1962-10-21,15.107436,-10.07856,13.5,NA,NA,ID_15.107436_-10.07856,8,19,13.5,15.107436_-10.07856
13,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_3,19,30,0,79,1,20,NA,6,4.8,5.2,4.1,AfSPDB,1962-10-21,15.107436,-10.07856,24.5,NA,NA,ID_15.107436_-10.07856,19,30,24.5,15.107436_-10.07856
14,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_4,30,50,0,79,1,21,NA,5.9,4.6,3.3,3.2,AfSPDB,1962-10-21,15.107436,-10.07856,40,NA,NA,ID_15.107436_-10.07856,30,50,40,15.107436_-10.07856
15,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_5,50,85,0,66,1,33,NA,5.2,4.1,NA,3.6,AfSPDB,1962-10-21,15.107436,-10.07856,67.5,NA,NA,ID_15.107436_-10.07856,50,85,67.5,15.107436_-10.07856
16,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_6,85,117,0,63,3,34,NA,5.2,4.1,NA,NA,AfSPDB,1962-10-21,15.107436,-10.07856,101,NA,NA,ID_15.107436_-10.07856,85,117,101,15.107436_-10.07856
17,AO_SOTER_P.104c/62,AO_SOTER_P.104c/62_7,117,170,0,65,1,34,NA,5.4,4.2,NA,NA,AfSPDB,1962-10-21,15.107436,-10.07856,143.5,NA,NA,ID_15.107436_-10.07856,117,170,143.5,15.107436_-10.07856
82,AO_SOTER_P.128c/64,AO_SOTER_P.128c/64_1,0,11,0,75,6,19,NA,4.6,3.5,22,9.9,AfSPDB,1964-10-21,23.398895,-12.081946,5.5,NA,NA,ID_23.398895_-12.081946,0,11,5.5,23.398895_-12.081946
83,AO_SOTER_P.128c/64,AO_SOTER_P.128c/64_2,11,25,0,73,5,22,NA,5.1,3.9,7,6.2,AfSPDB,1964-10-21,23.398895,-12.081946,18,NA,NA,ID_23.398895_-12.081946,11,25,18,23.398895_-12.081946
84,AO_SOTER_P.128c/64,AO_SOTER_P.128c/64_3,25,42,0,72,5,23,NA,5.2,3.9,4.8,5.1,AfSPDB,1964-10-21,23.398895,-12.081946,33.5,NA,NA,ID_23.398895_-12.081946,25,42,33.5,23.398895_-12.081946
